연월,녹두(국산)_true,녹두(국산)_pred
2015_10,350080.0,348510.28
2015_11,347352.0,356909.94
2015_12,352400.0,351550.22
2016_1,352400.0,358260.97
2016_2,354300.0,357751.72
2016_3,354400.0,358828.28
2016_4,354400.0,359174.22
2016_5,351320.0,358208.88
2016_6,344000.0,354158.53
2016_7,344000.0,344668.84
2016_8,345333.0,346174.03
2016_9,351818.0,348600.28
2016_10,356000.0,357345.06
2016_11,358500.0,362732.5
2016_12,374545.0,364670.38
2017_1,378000.0,385276.28
2017_2,377350.0,385670.9
2017_3,378900.0,381906.75
2017_4,385000.0,383998.06
2017_5,385000.0,388885.78
2017_6,385684.0,387047.72
2017_7,392000.0,387512.78
2017_8,398476.0,395442.28
2017_9,402545.0,401255.1
2017_10,404000.0,404837.72
2017_11,406000.0,405674.6
2017_12,404545.0,406471.38
2018_1,404000.0,403032.44
2018_2,404000.0,401439.3
2018_3,404000.0,401393.34
2018_4,404000.0,400821.44
2018_5,404000.0,401153.8
2018_6,398400.0,401293.03
2018_7,391000.0,394638.78
2018_8,390727.0,386343.9
2018_9,389327.0,387092.03
2018_10,399271.0,385697.12
2018_11,400362.0,398936.84
2018_12,401155.0,401144.8
2019_1,403147.0,400978.78
2019_2,400655.0,404231.22
2019_3,400200.0,398544.94
2019_4,400200.0,397860.75
2019_5,400200.0,398068.12
2019_6,400200.0,397427.38
2019_7,400800.0,398027.06
2019_8,402609.0,398864.28
2019_9,400000.0,400981.62
2019_10,400768.0,397602.16
2019_11,393590.0,398670.66
2019_12,393286.0,390181.03
2020_1,398670.0,389799.78
2020_2,394570.0,397684.44
2020_3,395782.0,391512.88
2020_4,396107.0,394687.28
2020_5,412160.0,395770.97
2020_6,427989.0,413525.16
2020_7,433282.0,432098.56
2020_8,448096.0,434379.75
2020_9,463910.0,450876.94
2020_10,498295.03,463144.2
2020_11,542379.0,491753.6
2020_12,586057.0,529943.1
