연월,팥(국산)_true,팥(국산)_pred
2014_4,230999.98,222695.39
2014_5,230999.98,230401.78
2014_6,230368.0,231837.3
2014_7,229000.0,231052.97
2014_8,232304.0,229347.66
2014_9,234105.0,234315.12
2014_10,240832.98,236217.42
2014_11,234810.0,243914.81
2014_12,207449.98,234360.23
2015_1,192666.98,197353.16
2015_2,190381.0,185911.0
2015_3,187000.0,191486.23
2015_4,185318.0,187371.22
2015_5,180855.0,186222.69
2015_6,177444.0,182096.78
2015_7,177000.0,178684.58
2015_8,177000.0,179817.12
2015_9,177000.0,179914.64
2015_10,180600.0,179772.53
2015_11,178809.98,184864.98
2015_12,177190.0,181383.22
2016_1,177619.0,179183.38
2016_2,180700.0,181109.77
2016_3,183555.98,184834.28
2016_4,183999.98,187601.62
2016_5,184199.98,187081.42
2016_6,187999.98,187260.5
2016_7,192380.98,192511.61
2016_8,205333.0,197163.17
2016_9,204000.0,212920.2
2016_10,211684.0,207124.48
2016_11,225680.0,216024.75
2016_12,367109.0,234998.61
2017_1,447571.0,420455.72
2017_2,453800.0,481506.56
2017_3,463360.0,443510.8
2017_4,498636.0,475545.6
2017_5,543850.0,537638.44
2017_6,561421.0,547724.3
2017_7,574381.0,541937.25
2017_8,581286.0,537829.06
2017_9,607955.0,508888.06
2017_10,624905.0,464167.88
2017_11,555938.0,440685.44
2017_12,325091.0,314521.72
2018_1,330632.0,108115.9
2018_2,342227.0,214298.28
2018_3,341800.0,307340.0
2018_4,337600.0,279520.66
2018_5,336733.0,335697.53
2018_6,335700.0,338599.97
2018_7,324884.0,337266.6
2018_8,314427.0,321714.72
2018_9,325800.0,309937.53
2018_10,347459.0,330594.03
2018_11,365333.0,358557.28
2018_12,405082.0,372897.5
2019_1,456547.0,421023.34
2019_2,455409.0,483872.9
2019_3,452575.97,463752.94
2019_4,454000.0,453270.12
2019_5,454927.0,467144.38
2019_6,456200.0,438601.53
2019_7,455116.0,438789.4
2019_8,448913.0,439195.12
2019_9,445819.0,430016.6
2019_10,440253.0,427900.62
2019_11,435629.0,422909.78
2019_12,396571.0,417368.5
2020_1,354250.0,371803.5
2020_2,341000.0,326788.9
2020_3,338958.0,335103.0
2020_4,336220.0,337371.06
2020_5,337000.0,332157.2
2020_6,338474.0,336756.72
2020_7,347545.0,340663.53
2020_8,353148.0,351803.56
2020_9,355400.0,358007.94
2020_10,365095.0,357286.0
2020_11,382979.0,371140.78
2020_12,453448.0,393881.8
